,processed_sentence,vader_scores,polarity_value
0,i can not open the app anymore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,i have be beg for a refund from this app for over a month and nobody be reply i,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
2,very costly for the premium version ( approx indian rupees 910 per year ) . well to download the premium version of this app from apkmos website and use it . microsoft to do list app be far more well .,"{'neg': 0.042, 'neu': 0.809, 'pos': 0.149, 'compound': 0.6597}",positive
3,"use to keep i organize , but all the 2020 update have make a mess of thing ! ! ! y cudn't u leave well enuf alone ? ? ? guess ur techie feel the need to keep make change to justify continue to collect their salary ! ! ! 🤤 🤤 🤤","{'neg': 0.173, 'neu': 0.805, 'pos': 0.022, 'compound': -0.8576}",negative
4,dan birthday oct 28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
5,it have change how i view my different list . now they be all jumble together and i can not find what i need .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
6,"i be only look for a grocery list app but every time i tap away from the app i have to tap again ( after open it again ) to see the list . i can not find a way to keep a certain list show when i open or reopen the app . eta : in response to the reply , it do not work like that on my phone . even if the grocery list be show , when i open another app and then go back to the any.do app , the list of list be show and i have to retap to get the grocery list to show again .","{'neg': 0.026, 'neu': 0.949, 'pos': 0.025, 'compound': -0.0039}",neutral
7,"reset my free trial , new phone i would like to see if it be well .","{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.8271}",positive
8,how do to stop monthly payment because i do not use this app anymore,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",negative
9,"i complain about not crash and it be immediately fixed!good job ! ! now the crash have return ! i really need it fix because i need to change app otherwise 😩 i follow your instruction on delete the datum , etc but it just now crash again . i be a patient person and i have use any do for year but let us try one more time and then i will have to find another app . it crash again 😑","{'neg': 0.056, 'neu': 0.944, 'pos': 0.0, 'compound': -0.5374}",negative
10,"constant crash . after read all the negative review , i uninstalle it from all my device . * * cancel subscription . app be great , until it crash . after spend more than a hour set it up on my samsung tablet , it will not run . can not even get it to start . too bad . in the past , my experience have be good with this app . guess i will see how long it take to crash on my cell phone . so much for multi - device sync . such a disappointment . * * see above , for new comment add .","{'neg': 0.13, 'neu': 0.8, 'pos': 0.069, 'compound': -0.7351}",negative
11,"widget be useless because they always show all task i have , regardless of category . there be no option to show only a specific category like grocery so they be all mix up with to - do list task . do developer even care about usability ? be not it a software design 101 ?","{'neg': 0.094, 'neu': 0.792, 'pos': 0.114, 'compound': 0.264}",positive
12,horrible app . it do not do as describe . absolutely no support !,"{'neg': 0.433, 'neu': 0.479, 'pos': 0.088, 'compound': -0.7215}",negative
13,"update october 2020 : new update delete all of my task , force i to create an account , and now only bare minimum be free . find a new app . be use this for year and love it . with each update you get less and less free . it just auto update and now i can not have reoccurring reminder without pay . unless you count default to every monday . it would not even allow i to update a long time weekly reminder","{'neg': 0.054, 'neu': 0.807, 'pos': 0.139, 'compound': 0.8114}",positive
14,do not realize there be a charge for this app do not want this app .,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.0572}",negative
15,"spams notification of how many task other user have complete this week . who on earth would care ? uninstalled . * * update : developer respond that this be a once off experiment . i think this be actually the third time i receive this notification . also , experimental spam be still spam","{'neg': 0.098, 'neu': 0.84, 'pos': 0.062, 'compound': -0.2023}",negative
16,download first thing it try to do be do a con . not impressed .,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.3724}",negative
17,no long work with alexa . what happen ? ?,"{'neg': 0.299, 'neu': 0.701, 'pos': 0.0, 'compound': -0.3736}",negative
18,it do not show any list,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
19,do not download,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
20,this app be not what i want at all .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
21,unnecessary pop up . really annoying and counterproductive,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.4576}",negative
22,they recently start send spammy notification every week or so . please stop .,"{'neg': 0.152, 'neu': 0.69, 'pos': 0.159, 'compound': 0.0258}",neutral
23,"show task assign to other in widget . a major missing feature for any serious project , be some way to know if a task you be currently add to a long list , already exist . some kind of an automatic search through the exist task - at least the task in the current list - while type in a new task . other than that , this be great . good job ! _ task search in the web app be an extra step and not intuitive . _ use a separate search feature to check every new task you be add , be absurd .","{'neg': 0.038, 'neu': 0.889, 'pos': 0.073, 'compound': 0.6704}",positive
24,7 day for free and then you pay . plus too complicated for some simple task,"{'neg': 0.079, 'neu': 0.734, 'pos': 0.186, 'compound': 0.4404}",positive
25,update : thank for your response . i would ask the developer to check their own app . there be no monthly subscription option in the app . old review : no monthly subscription ? why should i be force to subscribe for a year ? i be definitely not subscribe for a year in one go . this be ridiculously desperate .,"{'neg': 0.201, 'neu': 0.714, 'pos': 0.085, 'compound': -0.7645}",negative
26,expensive paywall prevent access to feature in want to try out,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.0258}",neutral
